graphene-C486H541     AIE: 9.422176214529 eV
graphene-C486H5410    AIE: 9.421606150611 eV
graphene-C486H5411    AIE: 9.420165712866 eV
graphene-C486H5412    AIE: 9.431500363082 eV
graphene-C486H5413    AIE: 9.420790139801 eV
graphene-C486H5414    AIE: 9.431055797787 eV
graphene-C486H5415    AIE: 9.438275064766 eV
graphene-C486H5416    AIE: 9.416419621226 eV
graphene-C486H5417    AIE: 9.424057345931 eV
graphene-C486H5418    AIE: 9.420792767116 eV
graphene-C486H5419    AIE: 9.414961061097 eV
graphene-C486H542     AIE: 9.423419781060 eV
graphene-C486H5420    AIE: 9.422500554689 eV
graphene-C486H5421    AIE: 9.433389588297 eV
graphene-C486H5422    AIE: 9.426262130132 eV
graphene-C486H5423    AIE: 9.429754685893 eV
graphene-C486H5424    AIE: 9.431107918802 eV
graphene-C486H5425    AIE: 9.428456954717 eV
graphene-C486H5426    AIE: 9.415359420020 eV
graphene-C486H543     AIE: 9.422243395911 eV
graphene-C486H544     AIE: 9.421592745023 eV
graphene-C486H545     AIE: 9.421850066335 eV
graphene-C486H546     AIE: 9.425318388820 eV
graphene-C486H547     AIE: 9.426325283247 eV
graphene-C486H548     AIE: 9.421349843087 eV
graphene-C486H549     AIE: 9.421717451196 eV
